subject,session,correct_recs
LTP229,5,36
LTP229,6,171
LTP229,7,188
LTP229,8,256
LTP229,9,266
LTP246,5,16
LTP246,6,29
LTP246,7,53
LTP246,8,125
LTP246,9,166
LTP260,5,32
LTP260,6,50
LTP260,8,95
LTP260,9,118
LTP312,5,41
LTP312,7,121
LTP312,8,130
LTP327,5,4
LTP327,6,7
LTP327,7,20
LTP327,8,61
LTP327,9,113
LTP329,6,35
LTP329,7,40
LTP329,8,42
LTP329,9,49
LTP339,5,46
LTP339,6,81
LTP339,7,118
LTP339,8,131
LTP339,9,122
LTP347,5,19
LTP347,6,22
LTP347,7,16
LTP347,8,12
LTP347,9,11
LTP355,5,17
LTP355,6,27
LTP355,7,50
LTP355,8,49
LTP355,9,68
LTP356,5,56
LTP356,6,45
LTP356,7,61
LTP356,8,56
LTP356,9,43
LTP365,5,50
LTP365,6,118
LTP365,7,129
LTP365,8,193
LTP365,9,203
LTP372,5,11
LTP372,6,21
LTP372,7,111
LTP372,8,71
LTP372,9,98
LTP400,5,28
LTP400,6,62
LTP400,7,111
LTP400,8,136
LTP400,9,170
LTP401,5,19
LTP401,6,42
LTP401,7,59
LTP401,8,115
LTP401,9,174
LTP402,5,14
LTP402,6,18
LTP402,7,23
LTP402,8,32
LTP402,9,31
LTP404,5,12
LTP404,6,12
LTP404,7,11
LTP404,8,10
LTP404,9,8
LTP405,5,12
LTP405,6,16
LTP405,7,12
LTP405,8,36
LTP405,9,30
LTP406,5,20
LTP406,6,26
LTP406,7,28
LTP406,8,42
LTP406,9,40
LTP407,5,36
LTP407,6,45
LTP407,7,51
LTP407,8,39
LTP407,9,44
LTP408,5,30
LTP408,6,39
LTP408,7,63
LTP408,8,89
LTP408,9,108
LTP412,5,2
LTP412,6,6
LTP412,7,10
LTP412,8,16
LTP412,9,13
LTP414,5,15
LTP414,6,31
LTP414,7,36
LTP414,8,44
LTP414,9,51
LTP415,5,36
LTP415,6,55
LTP415,7,78
LTP415,8,95
LTP415,9,108
LTP416,5,21
LTP416,6,56
LTP416,7,108
LTP416,8,177
LTP416,9,206
LTP417,5,28
LTP417,6,56
LTP417,7,75
LTP417,8,99
LTP417,9,115
LTP418,5,7
LTP418,6,19
LTP418,7,12
LTP418,8,26
LTP418,9,27
LTP419,5,9
LTP419,6,8
LTP419,7,7
LTP419,8,7
LTP419,9,8
LTP420,6,31
LTP420,7,33
LTP420,8,37
LTP420,9,34
LTP421,5,37
LTP421,6,42
LTP421,7,88
LTP421,8,103
LTP421,9,132
LTP422,5,90
LTP422,6,139
LTP422,7,265
LTP422,8,267
LTP423,5,17
LTP423,6,41
LTP423,7,56
LTP423,8,82
LTP423,9,88
LTP424,5,40
LTP424,6,57
LTP424,7,65
LTP424,8,87
LTP424,9,108
LTP425,5,26
LTP425,6,70
LTP425,7,121
LTP425,8,126
LTP425,9,222
LTP427,5,21
LTP427,6,35
LTP427,7,43
LTP427,8,56
LTP427,9,75
LTP429,5,21
LTP429,6,37
LTP429,7,41
LTP429,8,42
LTP429,9,64
LTP430,5,28
LTP430,6,84
LTP430,7,135
LTP430,8,181
LTP430,9,191
LTP431,5,18
LTP431,6,56
LTP431,7,99
LTP431,8,149
LTP431,9,182
LTP433,5,37
LTP433,6,45
LTP433,7,47
LTP435,5,18
LTP435,6,32
LTP435,7,31
LTP436,5,27
LTP436,6,78
LTP436,7,141
LTP436,8,121
