subject,lag,actual_lag_count,poss_lag_count,prob
LTP229,1.0,23.0,80.0,0.2875
LTP246,1.0,5.0,22.0,0.22727272727272727
LTP260,1.0,15.0,87.0,0.1724137931034483
LTP312,1.0,3.0,28.0,0.10714285714285714
LTP327,1.0,1.0,12.0,0.08333333333333333
LTP329,1.0,5.0,21.0,0.23809523809523808
LTP339,1.0,1.0,9.0,0.1111111111111111
LTP347,1.0,4.0,75.0,0.05333333333333334
LTP355,1.0,11.0,47.0,0.23404255319148937
LTP356,1.0,18.0,88.0,0.20454545454545456
LTP365,1.0,24.0,95.0,0.25263157894736843
LTP372,1.0,1.0,3.0,0.3333333333333333
LTP400,1.0,68.0,280.0,0.24285714285714285
LTP401,1.0,11.0,31.0,0.3548387096774194
LTP402,1.0,6.0,42.0,0.14285714285714285
LTP404,1.0,10.0,81.0,0.12345679012345678
LTP405,1.0,6.0,71.0,0.08450704225352113
LTP406,1.0,5.0,14.0,0.35714285714285715
LTP407,1.0,21.0,120.0,0.175
LTP408,1.0,52.0,174.0,0.2988505747126437
LTP412,1.0,2.0,11.0,0.18181818181818182
LTP414,1.0,8.0,57.0,0.14035087719298245
LTP415,1.0,9.0,35.0,0.2571428571428571
LTP416,1.0,11.0,33.0,0.3333333333333333
LTP417,1.0,29.0,57.0,0.5087719298245614
LTP418,1.0,29.0,141.0,0.20567375886524822
LTP419,1.0,7.0,30.0,0.23333333333333334
LTP420,1.0,13.0,75.0,0.17333333333333334
LTP421,1.0,31.0,113.0,0.2743362831858407
LTP422,1.0,13.0,25.0,0.52
LTP423,1.0,7.0,25.0,0.28
LTP424,1.0,12.0,44.0,0.2727272727272727
LTP425,1.0,26.0,90.0,0.28888888888888886
LTP427,1.0,7.0,28.0,0.25
LTP429,1.0,19.0,109.0,0.1743119266055046
LTP430,1.0,25.0,70.0,0.35714285714285715
LTP431,1.0,4.0,17.0,0.23529411764705882
LTP433,1.0,32.0,149.0,0.21476510067114093
LTP435,1.0,9.0,53.0,0.16981132075471697
LTP436,1.0,15.0,67.0,0.22388059701492538
LTP229,2.0,20.0,58.0,0.3448275862068966
LTP246,2.0,0.0,17.0,0.0
LTP260,2.0,4.0,46.0,0.08695652173913043
LTP312,2.0,1.0,16.0,0.0625
LTP327,2.0,0.0,6.0,0.0
LTP329,2.0,1.0,12.0,0.08333333333333333
LTP339,2.0,1.0,4.0,0.25
LTP347,2.0,2.0,71.0,0.028169014084507043
LTP355,2.0,3.0,22.0,0.13636363636363635
LTP356,2.0,2.0,78.0,0.02564102564102564
LTP365,2.0,12.0,71.0,0.16901408450704225
LTP372,2.0,0.0,1.0,0.0
LTP400,2.0,24.0,224.0,0.10714285714285714
LTP401,2.0,4.0,23.0,0.17391304347826086
LTP402,2.0,0.0,30.0,0.0
LTP404,2.0,5.0,65.0,0.07692307692307693
LTP405,2.0,1.0,60.0,0.016666666666666666
LTP406,2.0,0.0,11.0,0.0
LTP407,2.0,6.0,99.0,0.06060606060606061
LTP408,2.0,12.0,108.0,0.1111111111111111
LTP412,2.0,1.0,8.0,0.125
LTP414,2.0,0.0,41.0,0.0
LTP415,2.0,0.0,24.0,0.0
LTP416,2.0,1.0,23.0,0.043478260869565216
LTP417,2.0,6.0,49.0,0.12244897959183673
LTP418,2.0,5.0,114.0,0.043859649122807015
LTP419,2.0,2.0,23.0,0.08695652173913043
LTP420,2.0,7.0,58.0,0.1206896551724138
LTP421,2.0,9.0,92.0,0.09782608695652174
LTP422,2.0,0.0,17.0,0.0
LTP423,2.0,0.0,10.0,0.0
LTP424,2.0,2.0,29.0,0.06896551724137931
