subject,session,recs
LTP229,5,53
LTP229,6,184
LTP229,7,227
LTP229,8,301
LTP229,9,337
LTP246,5,21
LTP246,6,36
LTP246,7,62
LTP246,8,132
LTP246,9,169
LTP260,5,46
LTP260,6,88
LTP260,8,145
LTP260,9,173
LTP312,5,51
LTP312,7,128
LTP312,8,147
LTP327,5,7
LTP327,6,7
LTP327,7,23
LTP327,8,68
LTP327,9,127
LTP329,6,41
LTP329,7,48
LTP329,8,53
LTP329,9,59
LTP339,5,46
LTP339,6,81
LTP339,7,122
LTP339,8,137
LTP339,9,126
LTP347,5,48
LTP347,6,60
LTP347,7,27
LTP347,8,17
LTP347,9,16
LTP355,5,20
LTP355,6,28
LTP355,7,68
LTP355,8,78
LTP355,9,106
LTP356,5,83
LTP356,6,83
LTP356,7,92
LTP356,8,71
LTP356,9,75
LTP365,5,73
LTP365,6,138
LTP365,7,170
LTP365,8,236
LTP365,9,300
LTP372,5,11
LTP372,6,21
LTP372,7,112
LTP372,8,73
LTP372,9,100
LTP400,5,78
LTP400,6,172
LTP400,7,229
LTP400,8,254
LTP400,9,276
LTP401,5,23
LTP401,6,57
LTP401,7,69
LTP401,8,133
LTP401,9,193
LTP402,5,18
LTP402,6,33
LTP402,7,36
LTP402,8,47
LTP402,9,44
LTP404,5,32
LTP404,6,41
LTP404,7,37
LTP404,8,35
LTP404,9,20
LTP405,5,40
LTP405,6,25
LTP405,7,41
LTP405,8,50
LTP405,9,36
LTP406,5,24
LTP406,6,31
LTP406,7,34
LTP406,8,47
LTP406,9,43
LTP407,5,63
LTP407,6,77
LTP407,7,105
LTP407,8,76
LTP407,9,81
LTP408,5,56
LTP408,6,74
LTP408,7,138
LTP408,8,196
LTP408,9,223
LTP412,5,4
LTP412,6,12
LTP412,7,12
LTP412,8,22
LTP412,9,18
LTP414,5,18
LTP414,6,44
LTP414,7,66
LTP414,8,67
LTP414,9,69
LTP415,5,38
LTP415,6,65
LTP415,7,94
LTP415,8,112
LTP415,9,114
LTP416,5,25
LTP416,6,64
LTP416,7,122
LTP416,8,194
LTP416,9,225
LTP417,5,48
LTP417,6,80
LTP417,7,106
LTP417,8,126
LTP417,9,160
LTP418,5,38
LTP418,6,68
LTP418,7,69
LTP418,8,66
LTP418,9,84
LTP419,5,24
LTP419,6,15
LTP419,7,14
LTP419,8,20
LTP419,9,23
LTP420,6,67
LTP420,7,61
LTP420,8,65
LTP420,9,61
LTP421,5,65
LTP421,6,82
LTP421,7,136
LTP421,8,152
LTP421,9,189
LTP422,5,100
LTP422,6,151
LTP422,7,278
LTP422,8,282
LTP423,5,21
LTP423,6,49
LTP423,7,57
LTP423,8,98
LTP423,9,98
LTP424,5,49
LTP424,6,66
LTP424,7,83
LTP424,8,110
LTP424,9,138
LTP425,5,36
LTP425,6,92
LTP425,7,155
LTP425,8,178
LTP425,9,269
LTP427,5,33
LTP427,6,45
LTP427,7,51
LTP427,8,66
LTP427,9,80
LTP429,5,57
LTP429,6,76
LTP429,7,74
LTP429,8,72
LTP429,9,101
LTP430,5,68
LTP430,6,106
LTP430,7,166
LTP430,8,205
LTP430,9,221
LTP431,5,22
LTP431,6,63
LTP431,7,106
LTP431,8,157
LTP431,9,192
LTP433,5,98
LTP433,6,118
LTP433,7,112
LTP435,5,28
LTP435,6,64
LTP435,7,57
LTP436,5,43
LTP436,6,104
LTP436,7,165
LTP436,8,152
