subject,session,correct_recs,recs,intr,sem,lag,subj
LTP229,5,36,53,17,0.8399539200918628,0.530116507116021,
LTP229,6,171,184,13,0.8674537956906857,0.5435533269099362,0.8619811807700356
LTP229,7,188,227,39,0.8452044732507266,0.4910393402293357,0.8817031915082311
LTP229,8,256,301,45,0.8774910475865331,0.4800456195479777,0.9105984595375872
LTP229,9,266,337,71,0.8674403741560301,0.5390702218872092,0.9345424985788596
LTP246,5,16,21,5,0.576994233023109,0.5669582132494678,
LTP246,6,29,36,7,0.648079517065189,0.4281439887969083,0.6759478733218229
LTP246,7,53,62,9,0.847280537876338,0.5790388506484632,0.5580291151787609
LTP246,8,125,132,7,0.8063147615310196,0.4841644243453714,0.8858171236247039
LTP246,9,166,169,3,0.8099817402987264,0.5228358699345873,0.92599250325362
LTP260,5,32,46,14,0.6320616208176836,0.5459438657114194,
LTP260,6,50,88,38,0.8561746739557654,0.471905540773828,0.6839000895542792
LTP260,8,95,145,50,0.8622568903146349,,
LTP260,9,118,173,55,0.8576750711598413,0.5348798755980906,0.8129626915652259
LTP312,5,41,51,10,0.6260100359873582,0.5890123183625062,
LTP312,7,121,128,7,0.7341790493544753,,
LTP312,8,130,147,17,0.7375850001940394,0.4717050322532939,0.8699643976038691
LTP327,5,4,7,3,0.9947643979057592,0.3449477351916376,
LTP327,6,7,7,0,0.6668994783872431,0.6102097605637189,
LTP327,7,20,23,3,0.6963810739697655,0.5465574757719488,
LTP327,8,61,68,7,0.770900245789514,0.4976965381110276,0.8683996449456977
LTP327,9,113,127,14,0.7700771039335773,0.4781238399877104,0.7187100675552498
LTP329,6,35,41,6,0.8059223655732083,,
LTP329,7,40,48,8,0.8780837664997365,0.3855063981211694,0.9750385252888656
LTP329,8,42,53,11,0.7626523525986214,0.5159315659527769,0.917119956802265
LTP329,9,49,59,10,0.8165339823511286,0.4184516703646885,0.7991720776914377
LTP339,5,46,46,0,0.6776644814489657,0.4678386195935897,
LTP339,6,81,81,0,0.719082093262173,0.4990786511531604,0.6576840676761959
LTP339,7,118,122,4,0.8012528950165377,0.4728219967164153,0.7343393658615546
LTP339,8,131,137,6,0.8144220484634886,0.4816127123132984,0.8104730229497548
LTP339,9,122,126,4,0.7748447722483244,0.5055000296955371,0.8544861488696018
LTP347,5,19,48,29,0.3988451746098571,0.4743610822167891,
LTP347,6,22,60,38,0.6862618107345453,0.5983892185326067,0.1029411764705882
LTP347,7,16,27,11,0.5061295904046496,0.4857003335495155,0.9913793103448276
LTP347,8,12,17,5,0.5114481578394572,0.3720496687869818,0.7807971014492754
LTP347,9,11,16,5,0.703370387294945,0.4292120740602936,0.6944444444444444
LTP355,5,17,20,3,0.6687906518398002,0.5961877351938427,
LTP355,6,27,28,1,0.4055348822909174,0.5697389640953306,0.8854166666666667
LTP355,7,50,68,18,0.8141059699110503,0.567284610606499,0.7323926590838357
LTP355,8,49,78,29,0.8044392237395711,0.4052066273208889,0.7535174986612623
LTP355,9,68,106,38,0.836978255749665,0.4670388281753741,0.8401375169117365
LTP356,5,56,83,27,0.7735804986838205,0.6168175145848751,
LTP356,6,45,83,38,0.5738230183638376,0.5160405390436332,0.8425969279939801
LTP356,7,61,92,31,0.7977975464780306,0.4821245412736932,0.7766061256056993
LTP356,8,56,71,15,0.7205612926022378,0.4583840936907877,0.8276559606355626
LTP356,9,43,75,32,0.7181992119114624,0.4883070434159768,0.8629541800700206
LTP365,5,50,73,23,0.709039682783245,0.4549271327222454,
LTP365,6,118,138,20,0.7892076651753231,0.4673798911422879,0.690190577412384
LTP365,7,129,170,41,0.8566918462067246,0.505284230031242,0.90609354348214
LTP365,8,193,236,43,0.8564185946347368,0.4838709105967024,0.9296141608349356
LTP365,9,203,300,97,0.8714611762356451,0.4975918970133244,0.8919023246167976
LTP372,5,11,11,0,0.5833279530877689,0.5464847148119394,
LTP372,6,21,21,0,0.6301447754830026,0.5085492192507383,0.2222222222222222
LTP372,7,111,112,1,0.7299315011117719,0.5679457485498391,0.43125
LTP372,8,71,73,2,0.8083051134566466,0.4339518656893477,0.8538705338442032
LTP372,9,98,100,2,0.7595058929558586,0.4457353684269294,0.8518151557795773
LTP400,5,28,78,50,0.7505790858689501,0.3871109405703545,
LTP400,6,62,172,110,0.8997558132455153,0.5210318608413043,0.8892737350213581
LTP400,7,111,229,118,0.9129742055728016,0.4961604506444935,0.8141188788093222
LTP400,8,136,254,118,0.9161385170948416,0.5661243103611747,0.9173678537540664
LTP400,9,170,276,106,0.8871090730605339,0.4854511069299422,0.8796283777643156
LTP401,5,19,23,4,0.4940266802360492,0.5222248551448015,
LTP401,6,42,57,15,0.6980556630988073,0.4523845365743459,0.6495929995929995
LTP401,7,59,69,10,0.736419332106011,0.4968328007914748,0.6717804611299497
LTP401,8,115,133,18,0.7989878880960068,0.4881742481103214,0.7591184058476815
LTP401,9,174,193,19,0.7843226706851493,0.4793398643938773,0.8160873513187148
LTP402,5,14,18,4,0.8028035899059925,0.6271723927776025,
LTP402,6,18,33,15,0.6746376977053522,0.4642790894394968,0.84375
LTP402,7,23,36,13,0.7333667498400026,0.5860182266432394,0.7890557409467309
LTP402,8,32,47,15,0.7069387138458039,0.4358077720177329,0.7643133627442169
LTP402,9,31,44,13,0.73704946680358,0.5288133831966887,0.5564224174551918
LTP404,5,12,32,20,0.4901553467617052,0.4821995918761182,
LTP404,6,12,41,29,0.6108678497109207,0.5052208422729362,0.9136904761904762
LTP404,7,11,37,26,0.8945991687411117,0.8569322634968425,0.7772490313874014
LTP404,8,10,35,25,0.7371105918661872,0.4801891644727809,0.6864055299539171
LTP404,9,8,20,12,0.7838172694392311,0.5737157898943052,0.6751192480359146
LTP405,5,12,40,28,0.43037932517875,0.668333859324097,
LTP405,6,16,25,9,0.6488579064564812,0.5574044476578507,0.862405170401494
LTP405,7,12,41,29,0.7718019814814028,0.2121658975764103,0.8979114452798663
LTP405,8,36,50,14,0.7505515526572863,0.5438343513582374,0.8987111235120965
LTP405,9,30,36,6,0.7269479602823189,0.5349601647515703,0.7174836120322238
LTP406,5,20,24,4,0.6152673393758663,0.4559152318718137,
LTP406,6,26,31,5,0.7274743582247852,0.3990852827549097,0.6420382730444649
LTP406,7,28,34,6,0.698921900967039,0.4555639003410707,0.6512701953313039
LTP406,8,42,47,5,0.6153060717668696,0.5816622312512231,0.7436655342273014
LTP406,9,40,43,3,0.7049739066969228,0.5086641444229318,0.6240493072117981
LTP407,5,36,63,27,0.5665472801658186,0.5287807941033582,
LTP407,6,45,77,32,0.7464174473621793,0.4533282030837264,0.6011705504087601
LTP407,7,51,105,54,0.7409108349204566,0.4955320393956584,0.7943499362992468
LTP407,8,39,76,37,0.7286144869596247,0.5305835090305445,0.7942125709237533
LTP407,9,44,81,37,0.7662303455669719,0.5334676572236114,0.8752520084669787
LTP408,5,30,56,26,0.6108872456012037,0.5294832235600181,
LTP408,6,39,74,35,0.7550980279392202,0.5681393241693787,0.7608413124707973
LTP408,7,63,138,75,0.7871648279005686,0.4852619643080171,0.6020798936683507
LTP408,8,89,196,107,0.8351502071054641,0.5400839154799645,0.8216270899373126
LTP408,9,108,223,115,0.8346882297302782,0.5043766021038787,0.8101647307757821
LTP412,5,2,4,2,,,
LTP412,6,6,12,6,,,0.75
LTP412,7,10,12,2,0.6599544355299535,0.5087387209107362,0.3785714285714285
LTP412,8,16,22,6,0.5736928780879819,0.6045112645084023,0.8974702380952381
LTP412,9,13,18,5,0.7879354610011969,0.2363727584651198,0.7374708216619981
LTP414,5,15,18,3,0.5047582205932345,0.4272871840726384,
LTP414,6,31,44,13,0.8799979437132144,0.4601138147739221,0.789812271062271
LTP414,7,36,66,30,0.7477647099887699,0.528023364465506,0.770184234288309
LTP414,8,44,67,23,0.7953878516522338,0.3958436602442345,0.8244686322976807
LTP414,9,51,69,18,0.8209528856899458,0.5270410734914796,0.9213608943503068
LTP415,5,36,38,2,0.6841904887460377,0.5519174484497175,
LTP415,6,55,65,10,0.742156098841289,0.4986948178544461,0.8265904372571501
LTP415,7,78,94,16,0.7784668655142506,0.4759851053242669,0.7448390682782217
LTP415,8,95,112,17,0.7383563781023611,0.5606184493535701,0.8368246399894645
LTP415,9,108,114,6,0.8122684201743261,0.5132409425951313,0.8973586384720922
LTP416,5,21,25,4,0.651815687346385,0.5111141363350117,
LTP416,6,56,64,8,0.7148103569814954,0.4862960634528152,0.7885147017793211
LTP416,7,108,122,14,0.7231379845570828,0.5385038323542786,0.8989949182967332
LTP416,8,177,194,17,0.7624055575585306,0.4823827330206395,0.8519952670295449
LTP416,9,206,225,19,0.7636469382801192,0.5167284592498083,0.855574118069529
LTP417,5,28,48,20,0.7152128630452752,0.5745262758327806,
LTP417,6,56,80,24,0.7902015600717649,0.5293175658274658,0.8011792672562047
LTP417,7,75,106,31,0.819543155550887,0.5114001258738661,0.8895812815155659
LTP417,8,99,126,27,0.7994273309411775,0.4594633141899423,0.8891227615970516
LTP417,9,115,160,45,0.8533296398689668,0.5177932779248898,0.9251287452015968
LTP418,5,7,38,31,0.743455497382199,0.2560975609756097,
LTP418,6,19,68,49,0.6017147605505772,0.3118587239746889,0.7767560664112388
LTP418,7,12,69,57,0.27336860670194,0.7139084507042254,0.4686167227833894
