subject,session,intrusions
LTP441,0,5
LTP441,2,5
LTP441,3,2
LTP441,4,3
LTP441,5,5
LTP441,6,4
LTP441,7,5
LTP441,8,4
LTP441,9,4
LTP442,0,4
LTP442,1,0
LTP442,2,0
LTP442,3,1
LTP442,4,0
LTP442,5,2
LTP442,6,2
LTP442,7,0
LTP442,8,6
LTP442,9,1
LTP443,0,2
LTP443,1,2
LTP443,2,0
LTP443,3,0
LTP443,4,3
LTP443,5,1
LTP443,6,0
LTP443,7,0
LTP443,8,1
LTP443,9,2
LTP444,0,2
LTP444,1,1
LTP444,2,1
LTP444,3,0
LTP444,4,0
LTP444,5,0
LTP444,6,0
LTP444,7,0
LTP444,8,0
LTP444,9,0
LTP445,0,2
LTP445,1,1
LTP445,2,0
LTP445,3,0
LTP445,4,2
LTP445,5,1
LTP445,6,0
LTP445,7,0
LTP445,9,0
LTP446,0,0
LTP446,1,1
LTP446,2,2
LTP446,3,0
LTP446,4,1
LTP446,5,2
LTP446,6,0
LTP446,7,0
LTP446,8,2
LTP446,9,1
LTP447,0,4
LTP447,1,1
LTP447,2,0
LTP447,3,1
LTP447,4,1
LTP447,5,1
LTP447,6,1
LTP447,7,0
LTP447,8,0
LTP447,9,0
