subject,session,correct_recs,recs,intrusions,sem,lag,subj
LTP441,0,138,143,5,0.6097322798843248,0.7236829501915707,
LTP441,2,182,187,5,0.6948084301899987,0.6792107583774251,
LTP441,3,195,197,2,0.6919081268568685,0.7286637135474343,0.6865839752843015
LTP441,4,199,202,3,0.7108415615716854,0.7727941176470587,0.7090104749798203
LTP441,5,183,188,5,0.7137828536409906,0.6405864197530865,0.6908593836428145
LTP441,6,208,212,4,0.7093015170675948,0.614163614163614,0.6608629433563713
LTP441,7,223,228,5,0.715725856482655,0.6598544973544974,0.7352195989906525
LTP441,8,185,189,4,0.7469608428107205,0.7011288998357964,0.733040395542795
LTP441,9,197,201,4,0.7244604572623635,0.7438672438672439,0.7395877598302042
LTP442,0,185,189,4,0.5798432147641797,0.6313214869281051,
LTP442,1,155,155,0,0.5727883242402368,0.6406439393939394,0.5012359310330347
LTP442,2,186,186,0,0.6091431160108925,0.6347501240079366,0.4970130881029689
LTP442,3,161,162,1,0.5703139354237658,0.6358374384236453,0.5212594117461679
LTP442,4,198,198,0,0.5850807076970933,0.5855944893680743,0.4937700704196094
LTP442,5,192,194,2,0.5428709662661564,0.7273500881834217,0.4586766925495112
LTP442,6,187,189,2,0.5857322448155408,0.7519996887643948,0.5932552038821984
LTP442,7,200,200,0,0.5606893536785222,0.726179751179751,0.5200004846955181
LTP442,8,155,161,6,0.6183506151314874,0.7421726190476191,0.6144757590570726
LTP442,9,226,227,1,0.6083180897972981,0.6976899092970523,0.6297293870291863
LTP443,0,219,221,2,0.6007884859457046,0.6929282160625446,
LTP443,1,240,242,2,0.550496656809799,0.7116579861111113,0.5226361698729943
LTP443,2,217,217,0,0.5540291600311512,0.7319244493663101,0.4859257125798314
LTP443,3,218,218,0,0.5770382078949693,0.7130507936507938,0.4928489926751483
LTP443,4,197,200,3,0.5882939802599377,0.7308737646001798,0.5658167304032308
LTP443,5,230,231,1,0.5683416929808898,0.7411914765906364,0.6200099503102079
LTP443,6,219,219,0,0.571624992768224,0.70281498015873,0.6906165502524716
LTP443,7,230,230,0,0.6173047453163727,0.7125477660199886,0.5716418787619786
LTP443,8,233,234,1,0.6787279497797125,0.7438799130763414,0.6378097929359842
LTP443,9,253,255,2,0.6401233320104478,0.6756907008086255,0.6115523868395935
LTP444,0,191,193,2,0.5229938425112105,0.7505753968253971,
LTP444,1,204,205,1,0.5676178979643496,0.7061866513673744,0.4560750092883798
LTP444,2,223,224,1,0.5479465119857302,0.6910661516379606,0.530141925019687
LTP444,3,237,237,0,0.524557288562286,0.7337993487993488,0.4988219465231226
LTP444,4,209,209,0,0.5165388897583514,0.7034611992945332,0.4773973874682584
LTP444,5,275,275,0,0.5615221965578787,0.6816892175372351,0.5123954686766508
LTP444,6,232,232,0,0.5432901299994068,0.6867042931162105,0.5057510221883348
LTP444,7,211,211,0,0.5245820740733327,0.7192617254057933,0.5078476698529144
LTP444,8,240,240,0,0.523205959503132,0.726872895622896,0.5380538692160377
LTP444,9,188,188,0,0.5193767863150416,0.736297928262214,0.5588918898507681
LTP445,0,105,107,2,0.6656853058668224,0.6650208170699973,
LTP445,1,141,142,1,0.6185076370887028,0.6924029982363316,0.5467189993649951
LTP445,2,117,117,0,0.6209878028376133,0.7138630089717047,0.5578374499147472
LTP445,3,135,135,0,0.549570291963506,0.6422535505430241,0.35608798841566
LTP445,4,127,129,2,0.5433818950045336,0.6324296928916493,0.550275789747998
LTP445,5,136,137,1,0.5862999568291128,0.6786321671525755,0.5902966056833303
LTP445,6,126,126,0,0.6033667817185763,0.6921303986710962,0.5490747318991993
LTP445,7,153,153,0,0.567294805408829,0.6166315493749123,0.4929959819700538
LTP445,9,214,214,0,0.5678786238720592,0.6024839260598757,
LTP446,0,177,177,0,0.699565421554495,0.6880432728647013,
LTP446,1,210,211,1,0.592646598081534,0.5892227695675972,0.5244404617549533
LTP446,2,215,217,2,0.6300187710856212,0.6686233707575171,0.5448724719946731
LTP446,3,236,236,0,0.6603178242103348,0.6181369936034112,0.5248413009880565
LTP446,4,220,221,1,0.6807389778342605,0.6513931558286399,0.569692687851114
LTP446,5,243,245,2,0.7002796523023858,0.6275758533501896,0.6353251984994105
LTP446,6,225,225,0,0.6530013108382074,0.6565568048206936,0.5969169543801335
LTP446,7,237,237,0,0.6115608166155818,0.6198175787728025,0.5332885294241483
LTP446,8,223,225,2,0.6290615184889121,0.6646608946608944,0.5542423616318194
LTP446,9,228,229,1,0.6129629706058377,0.6586011904761904,0.5742129665782779
LTP447,0,168,172,4,0.7208100606375155,0.6751897860593512,
LTP447,1,204,205,1,0.656755752626487,0.6231170245876129,0.5662944449511805
LTP447,2,198,198,0,0.6816511326433478,0.615383779082409,0.6426640867745251
LTP447,3,213,214,1,0.7262892095499651,0.7217352092352093,0.6061894937753097
LTP447,4,198,199,1,0.6902106118090471,0.6839969896004379,0.7152918964025929
LTP447,5,225,226,1,0.6939499288045679,0.7036226318484384,0.6411309453583321
LTP447,6,211,212,1,0.7211098118326623,0.6660749094959623,0.7029338181351202
LTP447,7,199,199,0,0.7550086571522723,0.6841322055137846,0.641552561560035
LTP447,8,202,202,0,0.7764602206037162,0.5555059523809522,0.8112097434609353
LTP447,9,231,231,0,0.7209096272244641,0.620984753550543,0.6799982966412416
